PLAYER_ID,PLAYER_NAME,POSITION,HEIGHT,WEIGHT,BIRTHDATE,TEAM
1630173,Precious Achiuwa,Forward,6-8,243,1999-09-19T00:00:00,Knicks
203500,Steven Adams,Center,6-11,265,1993-07-20T00:00:00,Rockets
1628389,Bam Adebayo,Center-Forward,6-9,255,1997-07-18T00:00:00,Heat
1630534,Ochai Agbaji,Guard,6-5,215,2000-04-20T00:00:00,Raptors
1630583,Santi Aldama,Forward-Center,7-0,215,2001-01-10T00:00:00,Grizzlies
1641725,Trey Alexander,Guard,6-4,185,2003-05-02T00:00:00,Pelicans
1629638,Nickeil Alexander-Walker,Guard,6-5,205,1998-09-02T00:00:00,Hawks
1628960,Grayson Allen,Guard,6-4,198,1995-10-08T00:00:00,Suns
1628386,Jarrett Allen,Center,6-9,243,1998-04-21T00:00:00,Cavaliers
1630631,Jose Alvarado,Guard,6-0,179,1998-04-12T00:00:00,Pelicans
203937,Kyle Anderson,Forward-Guard,6-9,230,1993-09-20T00:00:00,Jazz
203507,Giannis Antetokounmpo,Forward,6-11,243,1994-12-06T00:00:00,Bucks
1630175,Cole Anthony,Guard,6-2,185,2000-05-15T00:00:00,Bucks
1628384,OG Anunoby,Forward-Guard,6-7,240,1997-07-17T00:00:00,Knicks
1642379,Taran Armstrong,Guard,6-5,190,2002-01-15T00:00:00,Warriors
1630166,Deni Avdija,Forward,6-9,240,2001-01-03T00:00:00,Trail Blazers
1629028,Deandre Ayton,Center,7-0,252,1998-07-23T00:00:00,Lakers
1630542,Marcus Bagley,Forward,6-6,217,2001-10-23T00:00:00,
1628963,Marvin Bagley III,Forward,6-10,235,1999-03-14T00:00:00,Wizards
1631116,Patrick Baldwin Jr.,Forward,6-9,220,2002-11-18T00:00:00,Clippers
1630163,LaMelo Ball,Guard,6-7,180,2001-08-22T00:00:00,Hornets
1628366,Lonzo Ball,Guard,6-6,190,1997-10-27T00:00:00,Cavaliers
1628964,Mo Bamba,Center,7-0,231,1998-05-12T00:00:00,
1631094,Paolo Banchero,Forward,6-10,250,2002-11-12T00:00:00,Magic
1630217,Desmond Bane,Guard,6-5,215,1998-06-25T00:00:00,Magic
1630625,Dalano Banton,Forward,6-8,203,1999-11-07T00:00:00,Trail Blazers
1631230,Dominick Barlow,Forward,6-8,215,2003-05-26T00:00:00,76ers
203084,Harrison Barnes,Forward,6-8,225,1992-05-30T00:00:00,Spurs
1630567,Scottie Barnes,Forward-Guard,6-7,237,2001-08-01T00:00:00,Raptors
1629628,RJ Barrett,Forward-Guard,6-6,214,2000-06-14T00:00:00,Raptors
1629646,Charles Bassey,Center-Forward,6-10,230,2000-10-28T00:00:00,Spurs
1641734,Emoni Bates,Forward,6-8,202,2004-01-28T00:00:00,Cavaliers
1642419,Jamison Battle,Forward,6-7,220,2001-05-10T00:00:00,Raptors
201587,Nicolas Batum,Guard-Forward,6-8,230,1988-12-14T00:00:00,Clippers
1641878,Damion Baugh,Guard,6-4,194,2000-08-03T00:00:00,Hornets
203078,Bradley Beal,Guard,6-4,207,1993-06-28T00:00:00,Clippers
1627736,Malik Beasley,Guard,6-4,187,1996-11-26T00:00:00,Pistons
1630699,MarJon Beauchamp,Forward,6-7,199,2000-10-12T00:00:00,Knicks
1641736,Reece Beekman,Guard,6-3,190,2001-10-08T00:00:00,Nets
1630180,Saddiq Bey,Guard-Forward,6-7,215,1999-04-09T00:00:00,Pelicans
1629048,Goga Bitadze,Center-Forward,6-10,250,1999-07-20T00:00:00,Magic
202687,Bismack Biyombo,Center,6-8,255,1992-08-28T00:00:00,Spurs
1641710,Anthony Black,Guard,6-7,200,2004-01-20T00:00:00,Magic
203992,Bogdan Bogdanović,Guard,6-5,225,1992-08-18T00:00:00,Clippers
1629626,Bol Bol,Center-Forward,7-3,220,1999-11-16T00:00:00,Suns
1641737,Adem Bona,Forward,6-10,235,2003-03-28T00:00:00,76ers
1626164,Devin Booker,Guard,6-6,206,1996-10-30T00:00:00,Suns
1630527,Brandon Boston,Guard,6-6,188,2001-11-28T00:00:00,Pelicans
1628449,Chris Boucher,Forward,6-9,200,1993-01-11T00:00:00,Raptors
1631123,Jamaree Bouyea,Guard,6-2,180,1999-06-27T00:00:00,Bucks
1628396,Tony Bradley,Center-Forward,6-11,248,1998-01-08T00:00:00,Pacers
1631103,Malaki Branham,Forward,6-4,180,2003-05-12T00:00:00,Wizards
1631128,Christian Braun,Guard,6-6,220,2001-04-17T00:00:00,Nuggets
1641779,Jalen Bridges,Forward,6-8,225,2001-05-14T00:00:00,Suns
1628969,Mikal Bridges,Guard-Forward,6-6,209,1996-08-30T00:00:00,Knicks
1628970,Miles Bridges,Forward,6-7,225,1998-03-21T00:00:00,Hornets
1629052,Oshae Brissett,Forward-Guard,6-7,210,1998-06-20T00:00:00,
1627763,Malcolm Brogdon,Guard,6-4,229,1992-12-11T00:00:00,Wizards
1628415,Dillon Brooks,Guard-Forward,6-6,225,1996-01-22T00:00:00,Suns
1631232,Keion Brooks Jr.,Forward,6-7,210,2000-08-07T00:00:00,Pelicans
1628971,Bruce Brown,Guard-Forward,6-4,202,1996-08-15T00:00:00,Nuggets
1627759,Jaylen Brown,Guard-Forward,6-6,223,1996-10-24T00:00:00,Celtics
1641738,Kobe Brown,Forward,6-7,250,2000-01-01T00:00:00,Clippers
1629650,Moses Brown,Center,7-2,258,1999-10-13T00:00:00,
1628973,Jalen Brunson,Guard,6-2,190,1996-08-31T00:00:00,Knicks
1628418,Thomas Bryant,Center-Forward,6-10,248,1997-07-31T00:00:00,Pacers
1641723,Kobe Bufkin,Guard,6-4,195,2003-09-21T00:00:00,Hawks
202692,Alec Burks,Guard,6-5,214,1991-07-20T00:00:00,Heat
1630215,Jared Butler,Guard,6-3,193,2000-08-25T00:00:00,Suns
202710,Jimmy Butler III,Forward,6-7,230,1989-09-14T00:00:00,Warriors
1641824,Matas Buzelis,Forward,6-10,209,2004-10-13T00:00:00,Bulls
1631288,Jamal Cain,Forward,6-6,191,1999-03-20T00:00:00,Magic
203484,Kentavious Caldwell-Pope,Guard,6-5,204,1993-02-18T00:00:00,Grizzlies
1641739,Toumani Camara,Forward,6-7,229,2000-05-08T00:00:00,Trail Blazers
203991,Clint Capela,Center,6-10,256,1994-05-18T00:00:00,Rockets
1642382,Branden Carlson,Center,7-0,220,1999-06-14T00:00:00,Thunder
1642267,Bub Carrington,Guard,6-4,190,2005-07-21T00:00:00,Wizards
1642269,Devin Carter,Guard,6-2,195,2002-03-18T00:00:00,Kings
1628975,Jevon Carter,Guard,6-1,200,1995-09-14T00:00:00,Bulls
1628976,Wendell Carter Jr.,Center-Forward,6-10,270,1999-04-16T00:00:00,Magic
1630618,D.J. Carton,Guard,6-3,200,2000-08-05T00:00:00,
1627936,Alex Caruso,Guard,6-5,186,1994-02-28T00:00:00,Thunder
1642264,Stephon Castle,Guard,6-6,215,2004-11-01T00:00:00,Spurs
1630658,Colin Castleton,Center,6-10,250,2000-05-25T00:00:00,Raptors
1630577,Julian Champagnie,Forward,6-7,217,2001-06-29T00:00:00,Spurs
1630551,Justin Champagnie,Guard-Forward,6-6,206,2001-06-29T00:00:00,Wizards
1642279,Ulrich Chomche,Center,6-11,235,2005-12-30T00:00:00,Raptors
1642353,Cam Christie,Guard,6-6,190,2005-07-24T00:00:00,Clippers
1631108,Max Christie,Guard,6-5,190,2003-02-10T00:00:00,Mavericks
1630528,Josh Christopher,Guard,6-4,215,2001-12-08T00:00:00,Heat
1631321,Sidy Cissoko,Guard,6-6,200,2004-04-02T00:00:00,Trail Blazers
1641740,Jaylen Clark,Guard,6-4,205,2001-10-13T00:00:00,Timberwolves
1629634,Brandon Clarke,Forward,6-8,215,1996-09-19T00:00:00,Grizzlies
203903,Jordan Clarkson,Guard,6-3,194,1992-06-07T00:00:00,Knicks
